193.0.9.9,53,6,949118
193.0.9.9,53,17,1275481
193.0.9.5,53,6,535638
193.0.9.5,53,17,1091184
199.253.249.53,53,6,529714
216.239.38.10,53,17,783611
23.97.226.21,443,6,512459
199.253.249.53,53,17,768710
193.0.9.11,53,6,345392
8.8.8.8,53,17,581464
204.61.216.100,53,6,340899
204.61.216.100,53,17,579522
193.0.9.10,53,6,308307
52.39.221.62,53,17,560121
192.82.134.30,53,6,276927
193.0.9.10,53,17,535053
54.79.215.67,443,6,250070
216.239.32.10,53,17,497094
202.31.190.1,53,6,229728
192.82.134.30,53,17,453536
192.5.5.241,53,6,195720
216.239.36.10,53,17,433473
52.113.194.132,443,6,187954
193.0.9.11,53,17,362009
13.107.138.10,443,6,179410
150.171.16.240,53,17,327152
13.107.136.10,443,6,175981
218.248.240.209,53,17,326071
199.7.91.13,53,6,161554
218.248.240.178,53,17,323039
204.61.216.50,53,6,144289
13.107.222.240,53,17,319713
199.7.83.42,53,6,133133
13.107.206.240,53,17,313215
92.123.114.109,443,6,106834
150.171.10.240,53,17,301970
200.0.68.10,53,6,104028
202.31.190.1,53,17,296101
192.35.51.30,53,6,103689
216.239.34.10,53,17,250566
23.40.141.150,443,6,99993
192.5.5.241,53,17,245345
193.203.230.26,443,6,98634
191.243.120.172,53,17,235237
192.203.230.10,53,6,94640
191.243.120.164,53,17,228811
192.33.14.30,53,6,89214
199.7.91.13,53,17,228809
193.0.9.8,53,6,87326
95.100.173.129,53,17,217967
52.105.34.41,443,6,85903
96.7.49.129,53,17,216904
193.0.14.129,53,6,84777
95.100.168.130,53,17,214230
23.32.221.157,443,6,83240
23.61.199.131,53,17,205491
192.43.172.30,53,6,81328
1.1.1.1,53,17,196899
192.42.93.30,53,6,80746
120.196.165.40,53,17,189872
192.54.112.30,53,6,77923
199.7.83.42,53,17,189135
20.189.172.33,443,6,74698
211.136.192.12,53,17,187789
52.123.128.14,443,6,72171
208.84.5.201,53,17,184148
52.123.129.14,443,6,71652
204.61.216.50,53,17,180581
192.36.148.17,53,6,69772
150.171.16.201,53,17,179547
13.107.246.60,443,6,65501
177.11.3.3,53,17,175012
